47.3977324,8.545679,544.1638,496.9431,-0.3433,0.18,0.3562,2019,1,26,14,0,39
47.3977328,8.5456793,544.1768,496.9566,-0.3649,0.1839,0.3343,2019,1,26,14,0,39
47.3977331,8.5456796,544.1788,496.9587,-0.3852,0.1504,0.3244,2019,1,26,14,0,39
47.3977334,8.5456798,544.1708,496.9507,-0.4016,0.1013,0.3243,2019,1,26,14,0,39
47.3977338,8.54568,544.1608,496.9409,-0.4191,0.05031,0.3261,2019,1,26,14,0,40
47.3977342,8.5456803,544.1478,496.9276,-0.4377,0.009186,0.3302,2019,1,26,14,0,40
47.3977345,8.5456805,544.1308,496.9104,-0.4575,-0.01538,0.3388,2019,1,26,14,0,40
47.3977349,8.5456808,544.1078,496.8876,-0.476,-0.02686,0.3529,2019,1,26,14,0,40
47.3977353,8.5456809,544.0818,496.8614,-0.4911,-0.0305,0.3708,2019,1,26,14,0,40
47.3977356,8.545681,544.0578,496.8379,-0.5001,-0.03,0.3867,2019,1,26,14,0,41
47.397736,8.5456811,544.0348,496.8147,-0.5063,-0.02812,0.4007,2019,1,26,14,0,41
47.3977363,8.545681,544.0078,496.7875,-0.5037,-0.02631,0.4196,2019,1,26,14,0,41
47.3977367,8.5456809,543.9798,496.7592,-0.4951,-0.02468,0.4412,2019,1,26,14,0,41
47.397737,8.5456807,543.9468,496.7263,-0.4799,-0.02333,0.4652,2019,1,26,14,0,41
47.3977373,8.5456804,543.9128,496.6927,-0.46,-0.02181,0.4911,2019,1,26,14,0,42
47.3977376,8.5456801,543.8808,496.6609,-0.4375,-0.02051,0.5155,2019,1,26,14,0,42
47.3977379,8.5456798,543.8498,496.6276,-0.4127,-0.019,0.5419,2019,1,26,14,0,42
47.3977382,8.5456793,543.8158,496.5958,-0.3832,-0.01763,0.5686,2019,1,26,14,0,42
47.3977385,8.5456789,543.7848,496.5649,-0.3505,-0.01583,0.5918,2019,1,26,14,0,42
47.3977387,8.5456784,543.7568,496.5367,-0.3171,-0.01411,0.6133,2019,1,26,14,0,43
47.397739,8.545678,543.7268,496.5061,-0.2845,-0.01248,0.6374,2019,1,26,14,0,43
47.3977393,8.5456775,543.6938,496.4737,-0.2529,-0.0111,0.663,2019,1,26,14,0,43
47.3977396,8.5456771,543.6628,496.4423,-0.2191,-0.009529,0.6877,2019,1,26,14,0,43
47.3977399,8.5456766,543.6298,496.4095,-0.1818,-0.007934,0.7142,2019,1,26,14,0,43
47.3977402,8.5456761,543.5998,496.3799,-0.151,-0.006547,0.7355,2019,1,26,14,0,44
47.3977405,8.5456757,543.5728,496.3522,-0.1179,-0.005105,0.756,2019,1,26,14,0,44
47.3977408,8.5456752,543.5428,496.3229,-0.0886,-0.003796,0.7781,2019,1,26,14,0,44
47.3977411,8.5456749,543.5168,496.2963,-0.06211,-0.002574,0.7974,2019,1,26,14,0,44
47.3977415,8.5456745,543.4908,496.2705,-0.03828,-0.001545,0.8158,2019,1,26,14,0,44
47.3977418,8.5456742,543.4658,496.2455,-0.01708,-0.0006775,0.8333,2019,1,26,14,0,45
47.3977422,8.545674,543.4438,496.2234,-0.001773,-6.955e-05,0.8475,2019,1,26,14,0,45
47.3977425,8.5456738,543.4248,496.2047,0.01178,0.0004565,0.8583,2019,1,26,14,0,45
47.3977429,8.5456737,543.4108,496.1908,0.02173,0.0008343,0.8644,2019,1,26,14,0,45
47.3977432,8.5456735,543.3978,496.1773,0.03317,0.001279,0.8697,2019,1,26,14,0,45
47.3977436,8.5456734,543.3848,496.1643,0.04003,0.001541,0.8744,2019,1,26,14,0,46
47.397744,8.5456733,543.3738,496.1534,0.04433,0.001719,0.8773,2019,1,26,14,0,46
47.3977444,8.5456732,543.3648,496.1442,0.04797,0.001841,0.8787,2019,1,26,14,0,46
47.3977448,8.5456732,543.3508,496.1308,0.05006,0.001911,0.8837,2019,1,26,14,0,46
47.3977451,8.5456731,543.3358,496.1156,0.04996,0.001872,0.8908,2019,1,26,14,0,46
47.3977455,8.5456731,543.3228,496.1029,0.05066,0.001901,0.8958,2019,1,26,14,0,47
47.3977459,8.5456731,543.3058,496.0855,0.05239,0.001998,0.9047,2019,1,26,14,0,47
47.3977463,8.5456731,543.2908,496.0707,0.04996,0.001924,0.9115,2019,1,26,14,0,47
47.3977467,8.5456731,543.2788,496.0585,0.04691,0.001792,0.9158,2019,1,26,14,0,47
47.397747,8.5456731,543.2658,496.0459,0.04265,0.001627,0.9209,2019,1,26,14,0,47
47.3977474,8.5456731,543.2528,496.0316,0.03958,0.001494,0.9274,2019,1,26,14,0,48
47.3977478,8.5456732,543.2378,496.0175,0.03534,0.001334,0.9336,2019,1,26,14,0,48
47.3977482,8.5456732,543.2238,496.0035,0.03057,0.001167,0.9397,2019,1,26,14,0,48
47.3977485,8.5456733,543.2108,495.9903,0.02531,0.0009555,0.9461,2019,1,26,14,0,48
47.3977489,8.5456733,543.1968,495.9762,0.02237,0.0008543,0.9522,2019,1,26,14,0,48
47.3977493,8.5456733,543.1808,495.9603,0.0191,0.0007307,0.9607,2019,1,26,14,0,49
47.3977497,8.5456733,543.1658,495.9455,0.01487,0.000564,0.968,2019,1,26,14,0,49
47.3977501,8.5456734,543.1518,495.9311,0.01024,0.0003917,0.9744,2019,1,26,14,0,49
47.3977505,8.5456734,543.1368,495.9165,0.003242,0.0001274,0.9814,2019,1,26,14,0,49
47.3977508,8.5456735,543.1238,495.9032,-0.000558,-2.254e-05,0.9876,2019,1,26,14,0,49
